City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,75,AR,1544313600,61,-54.81,-68.31,48.2,21.92
1,darnah,88,LY,1544316713,100,32.77,22.64,66.05,17.83
2,namibe,64,AO,1544316714,100,-15.19,12.15,70.19,4.41
3,cape town,0,ZA,1544313600,72,-33.93,18.42,60.8,6.93
4,hermanus,48,ZA,1544316491,100,-34.42,19.24,53.0,3.06
5,jamestown,64,AU,1544316714,38,-33.21,138.6,86.57,4.63
6,lebu,32,ET,1544313600,81,8.96,38.73,53.6,2.24
7,avesta,92,SE,1544314800,100,60.15,16.18,39.2,6.93
8,bethel,90,US,1544315820,92,60.79,-161.76,24.98,9.17
9,geraldton,40,CA,1544313600,72,49.72,-86.95,17.6,16.11
10,katsuura,75,JP,1544313600,60,33.93,134.5,39.2,11.41
11,severo-kurilsk,48,RU,1544316644,100,50.68,156.12,30.73,3.85
12,paamiut,24,GL,1544316548,100,61.99,-49.67,27.98,16.49
13,kloulklubed,75,PW,1544313240,88,7.04,134.26,80.6,11.41
14,baker city,1,US,1544313180,78,44.77,-117.83,30.02,4.7
15,edgewater,1,US,1544314500,88,28.99,-80.9,68.0,3.36
16,qaanaaq,48,GL,1544316650,100,77.48,-69.36,-3.43,8.99
17,dalbandin,0,PK,1544316717,85,28.9,64.41,47.24,3.18
18,georgetown,0,GY,1544313600,94,6.8,-58.16,75.2,4.7
19,college,90,US,1544315820,87,64.86,-147.8,21.02,3.18
20,badnawar,0,IN,1544313600,77,23.02,75.23,60.8,4.7
21,pevek,8,RU,1544316718,100,69.7,170.27,-6.58,9.89
22,punta arenas,0,CL,1544313600,61,-53.16,-70.91,50.0,20.8
23,butaritari,0,KI,1544316718,100,3.07,172.79,85.58,5.19
24,tuktoyaktuk,90,CA,1544313600,92,69.44,-133.03,6.8,23.04
25,mendoza,0,AR,1544316463,30,-32.89,-68.84,60.65,7.65
26,barrow,20,AR,1544316719,31,-38.31,-60.23,81.04,18.72
27,kaeo,0,NZ,1544316719,36,-35.1,173.78,77.39,15.93
28,salto,36,UY,1544316720,55,-31.39,-57.96,69.56,8.88
29,xining,0,CN,1544316720,57,36.62,101.77,2.06,4.29
30,hithadhoo,56,MV,1544316498,100,-0.6,73.08,83.33,9.22
31,avarua,90,CK,1544313600,79,-21.21,-159.78,84.2,10.29
32,kochi,40,IN,1544315400,94,9.96,76.25,73.4,6.64
33,flin flon,75,CA,1544313600,85,54.77,-101.88,12.2,5.82
34,mama,20,MX,1544312580,69,20.48,-89.36,82.4,9.17
35,upernavik,56,GL,1544316504,100,72.79,-56.15,8.81,10.33
36,kaitangata,56,NZ,1544316722,65,-46.28,169.85,68.66,18.28
37,prainha,12,BR,1544316722,99,-1.8,-53.48,74.69,1.16
38,lompoc,1,US,1544314500,51,34.64,-120.46,64.04,8.05
39,novaya ladoga,92,RU,1544316722,82,60.11,32.31,28.66,13.24
40,palmeira,0,BR,1544316723,66,-25.43,-50.0,58.81,7.99
41,bereda,90,ES,1544313600,87,43.27,-7.54,55.4,10.29
42,mataura,92,NZ,1544316723,89,-46.19,168.86,65.24,14.36
43,bluff,100,AU,1544316662,75,-23.58,149.07,71.41,14.7
44,chakwal,48,PK,1544316724,88,32.93,72.86,46.93,2.62
45,rafaela,0,AR,1544316724,36,-31.25,-61.49,74.96,11.23
46,rikitea,88,PF,1544316484,98,-23.12,-134.97,78.61,14.81
47,kiama,0,AU,1544316724,53,-34.67,150.86,83.06,3.29
48,pinawa,0,CA,1544316725,72,50.15,-95.88,6.2,8.43
49,dunedin,64,NZ,1544316725,73,-45.87,170.5,70.28,3.29
50,yumen,8,CN,1544316613,44,40.29,97.04,-10.05,6.98
51,ambunti,56,PG,1544316726,92,-4.22,142.82,80.23,2.84
52,smirnykh,12,RU,1544316726,69,49.74,142.83,1.39,7.2
53,tasiilaq,20,GL,1544313000,52,65.61,-37.64,19.4,3.36
54,hope,40,CA,1544313600,64,49.38,-121.43,35.6,9.17
55,puerto ayora,0,EC,1544313600,57,-0.74,-90.35,77.0,14.99
56,yokadouma,36,CM,1544316727,93,3.52,15.05,69.2,3.4
57,podyuga,76,RU,1544316728,88,61.09,40.86,20.78,13.24
58,staraya kulatka,80,RU,1544316728,93,52.73,47.62,20.6,3.85
59,vaini,48,IN,1544313600,93,15.34,74.49,66.2,1.83
60,albany,75,US,1544314620,70,42.65,-73.75,26.06,5.82
61,new norfolk,75,AU,1544315400,59,-42.78,147.06,60.8,3.36
62,cockburn town,56,TC,1544316637,100,21.46,-71.14,79.96,18.05
63,kiboga,44,UG,1544316729,90,0.92,31.77,65.83,4.97
64,hauterive,40,FR,1544313600,66,46.09,3.45,53.6,13.87
65,nemuro,20,JP,1544313600,85,43.32,145.57,12.2,8.05
66,saint george,90,GR,1544313000,93,39.45,22.34,46.4,3.51
67,port hueneme,20,US,1544313420,70,34.15,-119.2,64.04,5.82
68,kristiansund,92,NO,1544314800,100,63.12,7.73,35.6,19.46
69,noumea,0,NC,1544315400,45,-22.28,166.46,82.4,13.87
